RecordNumber,ElapsedTime(us),Humidity,Temperature
1,10000256,43.15,23.40
2,20000392,43.75,23.40
3,30000732,43.55,23.40
4,40001168,43.25,23.40
5,50001640,43.10,23.40
6,60002156,43.00,23.40
7,70002556,42.95,23.40
8,80003020,43.00,23.45
9,90003552,43.45,23.40
10,100004280,44.35,23.40
11,110004740,43.60,23.40
12,120005316,43.60,23.40
13,130006012,43.45,23.40
14,140007024,43.40,23.45
15,150007636,43.05,23.40
16,160008268,43.00,23.40
