0,1,2,3
100,-12.0,-6.25,17.3913043478
101,-6.25,-17.8571428571,28.5714285714
102,-4.16666666667,-17.3913043478,20.8333333333
103,7.40740740741,-27.2727272727,12.5
104,3.33333333333,-13.0434782609,8.0
105,-7.40740740741,4.54545454545,4.16666666667
106,-5.40540540541,0.0,5.88235294118
107,-44.0,-4.16666666667,52.1739130435
108,-25.9259259259,0.0,31.8181818182
109,0.0,-5.26315789474,3.57142857143
110,-20.8333333333,8.33333333333,10.3448275862
111,-9.67741935484,0.0,8.57142857143
112,-16.6666666667,8.0,3.125
113,0.0,14.2857142857,-16.6666666667
114,-6.66666666667,-25.0,24.0
115,-4.7619047619,-3.7037037037,7.14285714286
116,-12.9032258065,6.25,8.69565217391
117,-23.8095238095,17.6470588235,7.14285714286
118,-7.69230769231,-12.5,20.0
119,-4.54545454545,-25.0,29.6296296296
120,-12.0,13.7931034483,-3.125
121,-13.0434782609,8.82352941176,0.0
122,-11.1111111111,8.0,0.0
123,-13.6363636364,-3.33333333333,19.0476190476
124,-9.09090909091,8.69565217391,3.44827586207
125,-17.8571428571,13.6363636364,6.45161290323
126,-27.2727272727,-9.52380952381,40.0
127,12.0,-18.1818181818,10.7142857143
128,-3.7037037037,-3.57142857143,5.55555555556
129,8.33333333333,3.7037037037,-10.3448275862
130,-27.2727272727,6.45161290323,11.7647058824
131,-25.0,5.26315789474,20.0
132,-23.5294117647,-4.0,20.8333333333
133,-13.3333333333,20.0,0.0
134,-30.0,3.44827586207,20.8333333333
135,10.7142857143,-17.2413793103,8.69565217391
136,-11.1111111111,0.0,12.0
137,-12.0,-17.2413793103,42.1052631579
138,-21.7391304348,0.0,17.8571428571
139,-22.2222222222,-2.7027027027,25.9259259259
140,-4.7619047619,-21.875,32.0
141,-14.2857142857,0.0,15.3846153846
142,-12.1212121212,-14.8148148148,34.7826086957
143,-4.54545454545,8.33333333333,-2.5641025641
144,-21.875,-6.66666666667,40.9090909091
145,-17.8571428571,31.25,0.0
146,-9.09090909091,13.6363636364,-5.55555555556
147,-20.8333333333,17.3913043478,5.0
148,-17.6470588235,-18.1818181818,47.619047619
149,-25.0,-2.94117647059,16.6666666667
